date,deaths
08/19/19,1
08/20/19,1
08/21/19,1
08/22/19,0
08/23/19,1
08/24/19,1
08/25/19,0
08/26/19,1
08/27/19,1
08/28/19,1
08/29/19,1
08/30/19,8
08/31/19,56
09/01/19,143
09/02/19,116
09/03/19,54
09/04/19,46
09/05/19,36
09/06/19,20
09/07/19,28
09/08/19,12
09/09/19,11
09/10/19,5
09/11/19,5
09/12/19,1
09/13/19,3
09/14/19,0
09/15/19,1
09/16/19,4
09/17/19,2
09/18/19,3
09/19/19,0
09/20/19,0
09/21/19,2
09/22/19,1
09/23/19,1
09/24/19,1
09/25/19,1
09/26/19,1
09/27/19,1
09/28/19,0
09/29/19,0